open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,26.13,26.29,26.02,26.06,217102
2016-01-05 09:30:00,26.15,26.18,25.83,25.85,262288
2016-01-06 09:30:00,26.27,26.4,26.19,26.35,269635
2016-01-07 09:30:00,26.46,26.69,26.42,26.69,274099
2016-01-08 09:30:00,26.81,26.93,26.7,26.86,401917
2016-01-11 09:30:00,26.55,26.82,26.54,26.77,208365
2016-01-12 09:30:00,26.81,26.9,26.29,26.29,323849
2016-01-13 09:30:00,26.6,26.82,26.53,26.78,225713
2016-01-14 09:30:00,26.51,26.98,26.49,26.96,382288
2016-01-15 09:30:00,26.55,26.92,26.5,26.66,619307
2016-01-19 09:30:00,26.92,27.2,26.8,27.09,395734
2016-01-20 09:30:00,27.19,27.29,27.04,27.08,365360
2016-01-21 09:30:00,26.86,27.16,26.58,26.66,665254
2016-01-22 09:30:00,26.61,26.69,26.44,26.53,614763
2016-01-25 09:30:00,26.86,26.94,26.74,26.93,292148
2016-01-26 09:30:00,26.86,27.18,26.68,27.12,238701
2016-01-27 09:30:00,26.93,27.09,26.77,27.08,229862
2016-01-28 09:30:00,26.65,27.18,26.46,27.18,417265
2016-01-29 09:30:00,27.51,27.93,27.48,27.81,599731
2016-02-01 09:30:00,27.92,28.06,27.8,27.89,541949
2016-02-02 09:30:00,28.09,28.22,28.09,28.15,237155
2016-02-03 09:30:00,28.49,28.74,28.44,28.61,851059
2016-02-04 09:30:00,28.68,28.8,28.45,28.67,660489
2016-02-05 09:30:00,28.52,28.63,28.19,28.36,502703
2016-02-08 09:30:00,28.7,29.47,28.7,29.05,700781
2016-02-09 09:30:00,28.76,29.06,28.6,28.81,403052
2016-02-10 09:30:00,28.95,29.15,28.55,28.58,453377
2016-02-11 09:30:00,28.8,28.92,28.59,28.63,470372
2016-02-12 09:30:00,28.61,28.74,28.33,28.71,315752
2016-02-16 09:30:00,28.52,28.52,28.16,28.32,318252
2016-02-17 09:30:00,28.54,28.54,28.22,28.3,307226
2016-02-18 09:30:00,28.6,28.82,28.51,28.79,338533
2016-02-19 09:30:00,29.11,29.11,28.74,28.92,493931
2016-02-22 09:30:00,28.93,29.01,28.78,29.0,192318
2016-02-23 09:30:00,28.99,29.14,28.85,28.95,337471
2016-02-24 09:30:00,29.21,29.53,29.17,29.44,347712
2016-02-25 09:30:00,29.28,29.51,29.18,29.45,225718
2016-02-26 09:30:00,29.29,29.39,29.22,29.23,240952
2016-02-29 09:30:00,28.74,28.95,28.74,28.94,290321
2016-03-01 09:30:00,29.07,29.24,28.99,29.21,411149
2016-03-02 09:30:00,28.76,28.76,28.04,28.33,1011856
2016-03-03 09:30:00,28.97,29.01,28.66,28.66,366969
2016-03-04 09:30:00,28.84,28.91,28.64,28.73,410228
2016-03-07 09:30:00,29.23,29.37,29.13,29.35,541010
2016-03-08 09:30:00,29.43,29.53,29.26,29.46,390741
2016-03-09 09:30:00,29.78,30.0,29.73,29.88,270469
2016-03-10 09:30:00,29.81,29.95,29.78,29.92,212966
2016-03-11 09:30:00,29.93,30.12,29.84,29.88,297259
2016-03-14 09:30:00,29.84,29.96,29.81,29.91,286387
2016-03-15 09:30:00,29.93,30.0,29.78,29.94,180717
2016-03-16 09:30:00,29.84,29.9,29.65,29.72,185920
2016-03-17 09:30:00,30.3,30.32,30.09,30.32,306857
2016-03-18 09:30:00,30.69,30.75,30.45,30.58,2111319
2016-03-21 09:30:00,30.2,30.29,30.0,30.25,240457
2016-03-22 09:30:00,30.34,30.45,30.21,30.32,186322
2016-03-23 09:30:00,30.12,30.15,29.99,30.14,166381
2016-03-24 09:30:00,30.39,30.59,30.26,30.46,164314
2016-03-28 09:30:00,30.55,30.74,30.5,30.57,194934
2016-03-29 09:30:00,30.49,30.63,30.47,30.59,216687
2016-03-30 09:30:00,30.77,30.77,30.54,30.67,227243
2016-03-31 09:30:00,30.75,30.79,30.67,30.75,169774
2016-04-01 09:30:00,30.81,31.06,30.76,30.91,317798
2016-04-04 09:30:00,31.05,31.07,30.83,30.92,273673
2016-04-05 09:30:00,30.8,30.93,30.39,30.42,533054
2016-04-06 09:30:00,30.21,30.24,30.02,30.08,327774
2016-04-07 09:30:00,30.1,30.35,30.02,30.29,210961
2016-04-08 09:30:00,30.23,30.37,30.21,30.27,245868
2016-04-11 09:30:00,30.32,30.47,30.25,30.26,218463
2016-04-12 09:30:00,30.17,30.21,30.07,30.15,566607
2016-04-13 09:30:00,30.36,30.4,30.06,30.08,169099
2016-04-14 09:30:00,29.98,30.14,29.92,30.05,200555
2016-04-15 09:30:00,30.06,30.17,29.97,30.15,443860
2016-04-18 09:30:00,30.18,30.24,30.01,30.02,187499
2016-04-19 09:30:00,30.46,30.5,30.29,30.37,278829
2016-04-20 09:30:00,30.46,30.6,30.33,30.35,404354
2016-04-21 09:30:00,29.34,29.36,28.97,29.05,486412
2016-04-22 09:30:00,28.68,28.86,28.65,28.72,447365
2016-04-25 09:30:00,28.79,28.88,28.68,28.74,290643
2016-04-26 09:30:00,28.97,29.09,28.91,29.01,383943
2016-04-27 09:30:00,29.05,29.25,29.01,29.17,238866
2016-04-28 09:30:00,29.09,29.43,28.94,29.32,240701
2016-04-29 09:30:00,29.32,29.47,29.08,29.46,295558
2016-05-02 09:30:00,29.78,29.84,29.66,29.72,232729
2016-05-03 09:30:00,29.85,30.1,29.79,29.95,235505
2016-05-04 09:30:00,29.89,30.15,29.89,30.01,303990
2016-05-05 09:30:00,30.23,30.52,30.18,30.29,282409
2016-05-06 09:30:00,30.16,30.18,29.78,29.95,488557
2016-05-09 09:30:00,29.93,30.35,29.92,30.31,650134
2016-05-10 09:30:00,30.53,30.57,30.32,30.46,363795
2016-05-11 09:30:00,30.66,30.73,30.55,30.62,183437
2016-05-12 09:30:00,30.57,30.89,30.44,30.83,443645
2016-05-13 09:30:00,30.9,30.93,30.58,30.83,304738
2016-05-16 09:30:00,30.74,30.8,30.58,30.8,259342
2016-05-17 09:30:00,30.75,30.82,30.62,30.66,371964
2016-05-18 09:30:00,30.01,30.07,29.74,29.94,415595
2016-05-19 09:30:00,29.5,29.73,29.33,29.6,357614
2016-05-20 09:30:00,30.06,30.09,29.7,29.76,562051
2016-05-23 09:30:00,29.98,30.03,29.78,29.94,266020
2016-05-24 09:30:00,29.64,29.92,29.61,29.88,317260
2016-05-25 09:30:00,29.89,29.89,29.69,29.74,403091
2016-05-26 09:30:00,29.87,30.0,29.81,29.98,220498
2016-05-27 09:30:00,30.27,30.35,30.23,30.28,199735
2016-05-31 09:30:00,30.35,30.35,30.12,30.31,341801
2016-06-01 09:30:00,30.54,30.69,30.49,30.61,213560
2016-06-02 09:30:00,30.61,30.66,30.54,30.56,297749
2016-06-03 09:30:00,30.86,31.11,30.86,31.03,418655
2016-06-06 09:30:00,31.18,31.32,31.04,31.21,234036
2016-06-07 09:30:00,31.1,31.17,31.04,31.14,255054
2016-06-08 09:30:00,30.92,31.1,30.92,31.03,320442
2016-06-09 09:30:00,31.17,31.33,31.17,31.27,296499
2016-06-10 09:30:00,31.55,31.71,31.46,31.52,369396
2016-06-13 09:30:00,31.67,31.76,31.48,31.61,445121
2016-06-14 09:30:00,31.69,31.69,31.37,31.5,469348
2016-06-15 09:30:00,31.88,31.95,31.76,31.78,433725
2016-06-16 09:30:00,31.7,31.85,31.57,31.69,501279
2016-06-17 09:30:00,31.84,31.9,31.66,31.85,727374
2016-06-20 09:30:00,31.94,31.99,31.76,31.77,457026
2016-06-21 09:30:00,31.83,31.96,31.7,31.77,183664
2016-06-22 09:30:00,31.96,32.02,31.79,31.86,171746
2016-06-23 09:30:00,31.82,31.85,31.72,31.76,219876
2016-06-24 09:30:00,31.54,32.34,31.47,32.34,1169153
2016-06-27 09:30:00,32.18,32.38,32.12,32.23,626585
2016-06-28 09:30:00,32.54,32.61,32.12,32.32,465615
2016-06-29 09:30:00,32.7,32.86,32.56,32.65,297428
2016-06-30 09:30:00,32.72,32.84,32.61,32.72,196585
2016-07-01 09:30:00,33.48,33.54,33.34,33.46,332009
2016-07-05 09:30:00,33.36,33.6,33.36,33.49,406060
2016-07-06 09:30:00,33.65,33.83,33.46,33.53,352525
2016-07-07 09:30:00,33.64,33.69,33.31,33.35,457586
2016-07-08 09:30:00,32.96,32.96,32.54,32.64,1041743
2016-07-11 09:30:00,33.11,33.11,32.72,32.84,348701
2016-07-12 09:30:00,32.9,32.96,32.49,32.49,476080
2016-07-13 09:30:00,32.58,32.74,32.55,32.61,683840
2016-07-14 09:30:00,32.49,32.66,32.43,32.55,593513
2016-07-15 09:30:00,32.53,32.76,32.5,32.58,923509
2016-07-18 09:30:00,32.59,32.79,32.55,32.69,224531
2016-07-19 09:30:00,32.67,32.73,32.51,32.56,317116
2016-07-20 09:30:00,32.65,32.71,32.49,32.54,297433
2016-07-21 09:30:00,32.38,32.43,32.28,32.38,340667
2016-07-22 09:30:00,32.66,32.84,32.57,32.78,497387
2016-07-25 09:30:00,33.02,33.06,32.9,32.91,188574
2016-07-26 09:30:00,33.05,33.05,32.88,32.97,276634
2016-07-27 09:30:00,32.52,32.61,32.43,32.48,299221
2016-07-28 09:30:00,32.4,32.56,32.3,32.55,389285
2016-07-29 09:30:00,32.58,32.78,32.58,32.65,154778
2016-08-01 09:30:00,32.67,32.87,32.61,32.78,219994
2016-08-02 09:30:00,32.68,32.7,32.37,32.49,451140
2016-08-03 09:30:00,32.42,32.57,32.17,32.42,530073
2016-08-04 09:30:00,32.15,32.33,32.15,32.27,322192
2016-08-05 09:30:00,32.19,32.2,31.97,31.97,407100
2016-08-08 09:30:00,31.86,31.89,31.61,31.82,368930
2016-08-09 09:30:00,31.71,31.77,31.61,31.7,308293
2016-08-10 09:30:00,31.84,31.92,31.74,31.76,170042
2016-08-11 09:30:00,31.8,31.88,31.71,31.73,373845
2016-08-12 09:30:00,31.85,32.0,31.85,31.97,461672
2016-08-15 09:30:00,31.93,31.99,31.8,31.82,220507
2016-08-16 09:30:00,31.3,31.32,30.99,31.06,323288
2016-08-17 09:30:00,30.95,31.01,30.76,30.77,592012
2016-08-18 09:30:00,31.47,31.77,31.47,31.68,316899
2016-08-19 09:30:00,31.85,31.95,31.7,31.72,404004
2016-08-22 09:30:00,31.69,31.72,31.61,31.66,175668
2016-08-23 09:30:00,31.82,31.94,31.7,31.8,311292
2016-08-24 09:30:00,31.37,31.44,31.22,31.24,246143
2016-08-25 09:30:00,31.47,31.55,31.35,31.55,219958
2016-08-26 09:30:00,31.49,31.67,31.49,31.61,235709
2016-08-29 09:30:00,30.93,31.18,30.93,31.09,228720
2016-08-30 09:30:00,31.06,31.22,30.9,30.9,330759
2016-08-31 09:30:00,30.72,30.77,30.62,30.76,263549
2016-09-01 09:30:00,30.79,30.84,30.62,30.74,314904
2016-09-02 09:30:00,30.78,31.16,30.74,31.09,455363
2016-09-06 09:30:00,31.19,31.53,31.12,31.16,358389
2016-09-07 09:30:00,31.43,31.52,31.19,31.22,356768
2016-09-08 09:30:00,31.49,31.7,31.43,31.64,374367
2016-09-09 09:30:00,31.3,31.3,30.8,30.82,464530
2016-09-12 09:30:00,30.39,30.65,30.39,30.61,332719
2016-09-13 09:30:00,30.95,30.95,30.63,30.68,493835
2016-09-14 09:30:00,30.6,30.74,30.5,30.7,375231
2016-09-15 09:30:00,30.52,30.67,30.47,30.61,435604
2016-09-16 09:30:00,30.55,30.72,30.47,30.57,1578903
2016-09-19 09:30:00,31.09,31.2,30.97,31.16,349625
2016-09-20 09:30:00,31.43,31.47,31.34,31.43,478999
2016-09-21 09:30:00,31.2,31.34,31.19,31.31,348237
2016-09-22 09:30:00,32.11,32.23,32.07,32.15,289868
2016-09-23 09:30:00,32.13,32.2,32.01,32.14,1156822
2016-09-26 09:30:00,32.31,32.43,32.2,32.39,343527
2016-09-27 09:30:00,32.46,32.67,32.29,32.29,299507
2016-09-28 09:30:00,31.91,31.92,31.69,31.69,308780
2016-09-29 09:30:00,31.61,31.65,31.41,31.56,306680
2016-09-30 09:30:00,31.53,31.65,31.35,31.35,216067
2016-10-03 09:30:00,30.84,30.9,30.65,30.81,366688
2016-10-04 09:30:00,30.47,30.47,30.15,30.18,287711
2016-10-05 09:30:00,29.85,30.21,29.78,30.17,504744
2016-10-06 09:30:00,29.52,29.72,29.36,29.61,426344
2016-10-07 09:30:00,29.91,30.24,29.83,29.9,434414
2016-10-10 09:30:00,29.81,29.96,29.78,29.83,225596
2016-10-11 09:30:00,29.91,29.96,29.54,29.57,404507
2016-10-12 09:30:00,29.67,29.82,29.67,29.8,288460
2016-10-13 09:30:00,29.87,30.02,29.84,30.02,550893
2016-10-14 09:30:00,30.15,30.3,30.05,30.3,308823
2016-10-17 09:30:00,30.23,30.38,30.15,30.28,220748
2016-10-18 09:30:00,30.5,30.57,30.12,30.21,290095
2016-10-19 09:30:00,30.45,30.46,30.15,30.2,276168
2016-10-20 09:30:00,30.34,30.42,30.2,30.32,213332
2016-10-21 09:30:00,30.19,30.24,30.08,30.08,518256
2016-10-24 09:30:00,30.15,30.25,30.13,30.14,154952
2016-10-25 09:30:00,30.11,30.21,30.07,30.15,128142
2016-10-26 09:30:00,30.38,30.42,30.21,30.28,295843
2016-10-27 09:30:00,30.29,30.58,30.26,30.41,283856
2016-10-28 09:30:00,30.43,30.51,30.35,30.39,221858
2016-10-31 09:30:00,30.66,30.87,30.63,30.84,158372
2016-11-01 09:30:00,31.23,31.25,30.9,30.97,293208
2016-11-02 09:30:00,30.58,30.61,30.28,30.29,266136
2016-11-03 09:30:00,30.31,30.43,30.21,30.37,149661
2016-11-04 09:30:00,30.63,30.9,30.63,30.85,244844
2016-11-07 09:30:00,30.49,30.54,30.34,30.39,187832
2016-11-08 09:30:00,30.96,31.32,30.96,31.25,279150
2016-11-09 09:30:00,30.75,30.75,30.02,30.07,548577
2016-11-10 09:30:00,29.61,29.61,28.6,28.72,1007630
2016-11-11 09:30:00,29.03,29.39,29.03,29.3,368348
2016-11-14 09:30:00,28.97,29.03,28.7,28.93,454863
2016-11-15 09:30:00,29.06,29.43,29.06,29.33,324320
2016-11-16 09:30:00,29.48,29.68,29.41,29.42,175435
2016-11-17 09:30:00,29.12,29.45,29.1,29.33,153470
2016-11-18 09:30:00,29.28,29.45,29.27,29.37,252464
2016-11-21 09:30:00,29.34,29.39,29.21,29.23,164927
2016-11-22 09:30:00,29.56,29.6,29.36,29.51,230008
2016-11-23 09:30:00,29.2,29.54,29.15,29.34,302931
2016-11-25 09:30:00,29.26,29.67,29.26,29.67,238094
2016-11-28 09:30:00,29.78,30.01,29.78,30.0,184523
2016-11-29 09:30:00,30.19,30.52,30.17,30.5,355651
2016-11-30 09:30:00,30.03,30.03,29.53,29.63,324506
2016-12-01 09:30:00,29.14,29.15,28.97,29.08,292478
2016-12-02 09:30:00,28.96,29.33,28.96,29.17,411581
2016-12-05 09:30:00,29.12,29.12,28.75,28.8,167292
2016-12-06 09:30:00,29.24,29.28,29.13,29.15,107916
2016-12-07 09:30:00,29.16,29.42,29.14,29.37,309589
2016-12-08 09:30:00,29.33,29.48,29.17,29.45,369831
2016-12-09 09:30:00,29.48,29.68,29.45,29.65,308216
2016-12-12 09:30:00,29.84,30.05,29.77,30.05,204015
2016-12-13 09:30:00,30.53,30.61,30.38,30.43,246140
2016-12-14 09:30:00,30.71,30.9,30.61,30.66,230803
2016-12-15 09:30:00,29.95,29.99,29.74,29.95,267289
2016-12-16 09:30:00,30.23,30.54,30.23,30.31,1107670
2016-12-19 09:30:00,30.67,30.75,30.47,30.53,226822
2016-12-20 09:30:00,30.63,30.73,30.52,30.65,176255
2016-12-21 09:30:00,30.78,30.93,30.75,30.78,225993
2016-12-22 09:30:00,30.7,30.72,30.52,30.61,142168
2016-12-23 09:30:00,30.9,30.95,30.74,30.8,102138
2016-12-27 09:30:00,30.73,30.8,30.67,30.7,98376
2016-12-28 09:30:00,30.84,30.85,30.67,30.68,89718
2016-12-29 09:30:00,30.63,30.77,30.57,30.71,113610
2016-12-30 09:30:00,31.06,31.08,30.9,31.03,113208
2017-01-03 09:30:00,30.86,30.86,30.54,30.71,278443
2017-01-04 09:30:00,30.84,30.98,30.75,30.94,217379
2017-01-05 09:30:00,30.96,31.04,30.66,30.71,199876
2017-01-06 09:30:00,30.78,30.87,30.76,30.84,170340
2017-01-09 09:30:00,31.15,31.18,30.79,30.79,198823
2017-01-10 09:30:00,30.58,30.58,30.34,30.49,268432
2017-01-11 09:30:00,30.56,30.65,30.49,30.56,142485
2017-01-12 09:30:00,30.81,30.93,30.7,30.8,218965
2017-01-13 09:30:00,30.8,30.92,30.76,30.83,254932
2017-01-17 09:30:00,30.96,31.15,30.87,31.15,339415
2017-01-18 09:30:00,31.13,31.28,31.06,31.28,242735
2017-01-19 09:30:00,31.13,31.2,30.94,31.09,215243
2017-01-20 09:30:00,31.06,31.16,30.9,31.07,672034
2017-01-23 09:30:00,31.18,31.24,31.09,31.15,201131
2017-01-24 09:30:00,30.91,30.96,30.8,30.95,242693
2017-01-25 09:30:00,30.77,30.84,30.68,30.7,342351
2017-01-26 09:30:00,30.87,31.09,30.84,31.04,431475
2017-01-27 09:30:00,31.06,31.14,30.87,30.96,574659
2017-01-30 09:30:00,30.93,30.96,30.79,30.89,290349
2017-01-31 09:30:00,30.95,31.03,30.87,30.87,326590
2017-02-01 09:30:00,31.07,31.24,30.88,31.17,358381
2017-02-02 09:30:00,30.83,30.99,30.65,30.67,312027
2017-02-03 09:30:00,31.4,31.56,31.38,31.44,292545
2017-02-06 09:30:00,31.46,31.55,31.33,31.38,222209
2017-02-07 09:30:00,31.43,31.52,31.42,31.45,154739
2017-02-08 09:30:00,31.6,31.96,31.59,31.95,324660
2017-02-09 09:30:00,31.77,31.94,31.73,31.93,266981
2017-02-10 09:30:00,31.52,31.65,31.46,31.59,262154
2017-02-13 09:30:00,31.8,31.92,31.68,31.7,143812
2017-02-14 09:30:00,31.83,31.83,31.65,31.71,242378
2017-02-15 09:30:00,31.43,31.51,31.24,31.31,364261
2017-02-16 09:30:00,31.57,31.68,31.49,31.65,220628
