open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,37.83,37.83,37.6,37.7,2335191
2016-01-05 09:30:00,38.13,38.22,37.95,37.96,1241835
2016-01-06 09:30:00,37.36,37.54,37.28,37.52,2019010
2016-01-07 09:30:00,36.68,36.91,36.6,36.84,1596930
2016-01-08 09:30:00,36.66,36.78,36.56,36.77,2502397
2016-01-11 09:30:00,36.38,36.42,36.16,36.21,1455562
2016-01-12 09:30:00,36.67,36.8,36.63,36.73,2408386
2016-01-13 09:30:00,36.92,36.99,36.83,36.88,2356758
2016-01-14 09:30:00,35.88,35.93,35.46,35.5,2996915
2016-01-15 09:30:00,35.22,35.72,35.19,35.5,2530915
2016-01-19 09:30:00,35.78,35.86,35.59,35.64,1751705
2016-01-20 09:30:00,34.81,34.93,34.67,34.69,3488216
2016-01-21 09:30:00,35.33,35.35,34.89,35.0,4211674
2016-01-22 09:30:00,36.01,36.14,35.95,36.12,2774685
2016-01-25 09:30:00,36.12,36.27,36.1,36.2,1720976
2016-01-26 09:30:00,36.02,36.07,35.81,35.87,2465472
2016-01-27 09:30:00,35.95,36.04,35.85,35.91,1937066
2016-01-28 09:30:00,35.99,36.09,35.88,35.97,2996287
2016-01-29 09:30:00,36.18,36.62,36.18,36.6,3337038
2016-02-01 09:30:00,36.93,37.07,36.9,37.0,1939108
2016-02-02 09:30:00,37.11,37.12,36.81,36.9,2708319
2016-02-03 09:30:00,36.79,36.81,36.57,36.59,1708833
2016-02-04 09:30:00,36.44,36.51,36.16,36.39,2529681
2016-02-05 09:30:00,36.4,36.47,36.07,36.14,1639472
2016-02-08 09:30:00,34.92,34.98,34.75,34.88,4131929
2016-02-09 09:30:00,34.59,35.23,34.56,35.06,2324381
2016-02-10 09:30:00,35.17,35.39,35.12,35.37,2750989
2016-02-11 09:30:00,34.46,34.9,34.43,34.81,2883634
2016-02-12 09:30:00,35.14,35.22,34.94,34.96,1890767
2016-02-16 09:30:00,35.71,35.81,35.66,35.71,2512802
2016-02-17 09:30:00,36.17,36.27,36.11,36.24,1953923
2016-02-18 09:30:00,36.81,36.85,36.73,36.77,1423650
2016-02-19 09:30:00,36.4,36.51,36.31,36.44,1895898
2016-02-22 09:30:00,36.9,37.02,36.84,37.01,1309089
2016-02-23 09:30:00,36.9,36.93,36.81,36.84,1326955
2016-02-24 09:30:00,36.07,36.15,35.95,35.99,1466871
2016-02-25 09:30:00,36.87,36.92,36.66,36.67,1542979
2016-02-26 09:30:00,37.41,37.45,37.29,37.33,1579540
2016-02-29 09:30:00,37.07,37.25,37.04,37.2,1373067
2016-03-01 09:30:00,37.16,37.23,37.11,37.2,1385391
2016-03-02 09:30:00,37.81,37.91,37.75,37.81,1778363
2016-03-03 09:30:00,38.07,38.07,37.94,37.95,1017064
2016-03-04 09:30:00,38.06,38.15,37.9,37.98,2027747
