open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,69.37,69.5,68.96,69.22,1715204
2016-01-05 09:30:00,69.48,69.7,69.15,69.16,909465
2016-01-06 09:30:00,68.3,68.84,68.08,68.76,1322128
2016-01-07 09:30:00,67.41,68.1,67.27,67.94,1232075
2016-01-08 09:30:00,67.81,68.07,67.62,67.94,977996
2016-01-11 09:30:00,66.9,67.27,66.73,66.77,1385871
2016-01-12 09:30:00,67.5,68.17,67.5,67.87,916040
2016-01-13 09:30:00,68.05,68.05,67.46,67.47,1437189
2016-01-14 09:30:00,65.62,65.73,64.47,64.53,1641065
2016-01-15 09:30:00,64.2,64.94,64.06,64.53,1646013
2016-01-19 09:30:00,65.37,65.46,64.85,65.1,1286539
2016-01-20 09:30:00,63.91,64.21,63.33,63.41,1842328
2016-01-21 09:30:00,64.47,64.87,64.15,64.39,1825097
2016-01-22 09:30:00,66.15,66.36,65.85,66.35,1208790
2016-01-25 09:30:00,66.22,66.4,66.03,66.18,1508707
2016-01-26 09:30:00,65.72,65.96,65.39,65.61,958371
2016-01-27 09:30:00,66.31,66.51,66.16,66.2,834260
2016-01-28 09:30:00,66.21,66.39,65.86,66.01,1275024
2016-01-29 09:30:00,65.9,66.31,65.65,66.2,1330557
2016-02-01 09:30:00,66.57,66.79,66.25,66.73,906185
2016-02-02 09:30:00,66.9,67.11,66.53,66.58,1163163
2016-02-03 09:30:00,66.68,66.71,65.67,65.73,977037
2016-02-04 09:30:00,65.67,65.78,65.02,65.31,1213782
2016-02-05 09:30:00,65.21,65.27,64.64,64.71,744783
2016-02-08 09:30:00,62.69,62.69,61.98,62.08,1725984
2016-02-09 09:30:00,61.36,62.68,61.25,62.45,1773199
2016-02-10 09:30:00,62.11,62.45,61.94,62.43,1204020
2016-02-11 09:30:00,61.06,62.03,61.06,61.93,1378509
2016-02-12 09:30:00,62.59,62.74,62.07,62.12,878966
2016-02-16 09:30:00,63.99,64.17,63.72,63.81,1562054
2016-02-17 09:30:00,65.31,65.59,65.18,65.57,1445108
2016-02-18 09:30:00,66.01,66.02,65.31,65.56,1005648
2016-02-19 09:30:00,65.12,65.27,64.73,64.99,987244
2016-02-22 09:30:00,66.3,66.83,66.25,66.82,689516
2016-02-23 09:30:00,66.8,67.27,66.79,67.09,953300
2016-02-24 09:30:00,66.07,66.13,65.33,65.56,1041215
2016-02-25 09:30:00,67.08,67.4,66.83,66.86,839722
2016-02-26 09:30:00,68.06,68.11,67.82,67.85,1063697
2016-02-29 09:30:00,67.62,67.94,67.52,67.81,677992
2016-03-01 09:30:00,67.8,68.11,67.61,67.85,1038276
2016-03-02 09:30:00,68.92,69.04,68.74,68.83,687510
2016-03-03 09:30:00,68.85,68.95,68.67,68.87,1255934
2016-03-04 09:30:00,69.26,69.51,69.02,69.06,619670
2016-03-07 09:30:00,68.95,69.26,68.92,68.98,773253
2016-03-08 09:30:00,68.61,68.91,68.55,68.8,693340
2016-03-09 09:30:00,68.74,68.79,68.48,68.57,634694
2016-03-10 09:30:00,68.93,69.21,68.85,69.16,1224796
2016-03-11 09:30:00,69.36,69.5,69.19,69.43,1000895
2016-03-14 09:30:00,69.64,69.88,69.64,69.77,699122
2016-03-15 09:30:00,69.66,69.98,69.66,69.83,450972
2016-03-16 09:30:00,70.0,70.21,69.8,70.11,642266
2016-03-17 09:30:00,70.5,70.59,70.28,70.5,645935
2016-03-18 09:30:00,70.6,70.8,70.48,70.67,1100163
2016-03-21 09:30:00,70.53,70.65,70.41,70.43,716770
2016-03-22 09:30:00,70.08,70.37,70.05,70.31,542449
2016-03-23 09:30:00,70.14,70.23,70.01,70.16,2357952
2016-03-24 09:30:00,69.4,69.77,69.2,69.76,801625
2016-03-28 09:30:00,70.16,70.41,70.11,70.28,527708
2016-03-29 09:30:00,70.28,70.54,70.28,70.48,377045
2016-03-30 09:30:00,71.38,71.71,71.38,71.53,760227
2016-03-31 09:30:00,71.44,71.73,71.44,71.48,433221
2016-04-01 09:30:00,71.01,71.22,70.96,71.22,674370
2016-04-04 09:30:00,71.84,71.92,71.56,71.64,403867
2016-04-05 09:30:00,70.83,70.84,70.61,70.74,908863
2016-04-06 09:30:00,70.66,70.76,70.51,70.73,543632
2016-04-07 09:30:00,70.98,71.16,70.87,71.1,437842
2016-04-08 09:30:00,70.75,70.82,70.37,70.66,761009
2016-04-11 09:30:00,70.57,70.71,70.5,70.67,1886666
2016-04-12 09:30:00,69.96,70.2,69.79,70.08,425461
2016-04-13 09:30:00,71.04,71.4,70.92,71.39,654577
2016-04-14 09:30:00,71.66,71.8,71.37,71.46,465594
2016-04-15 09:30:00,71.63,71.71,71.42,71.52,458093
2016-04-18 09:30:00,71.82,72.19,71.62,72.14,528652
2016-04-19 09:30:00,72.58,72.69,72.4,72.48,824315
2016-04-20 09:30:00,72.28,72.28,71.97,72.12,446202
2016-04-21 09:30:00,72.38,72.42,72.11,72.18,721466
2016-04-22 09:30:00,71.91,72.2,71.85,72.02,717592
2016-04-25 09:30:00,71.65,71.71,71.4,71.45,642401
