open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,31.87,32.01,31.65,31.94,158529
2016-01-05 09:30:00,31.99,32.12,31.79,31.8,61401
2016-01-06 09:30:00,32.13,32.48,31.76,31.82,164830
2016-01-07 09:30:00,31.2,31.27,31.01,31.05,188484
2016-01-08 09:30:00,30.94,31.08,30.78,30.87,74586
2016-01-11 09:30:00,30.62,30.67,30.27,30.3,41247
2016-01-12 09:30:00,30.48,30.65,30.41,30.51,68219
2016-01-13 09:30:00,30.51,30.62,30.15,30.41,82334
2016-01-14 09:30:00,29.69,29.84,29.38,29.39,113539
2016-01-15 09:30:00,29.04,29.15,28.95,29.15,196040
2016-01-19 09:30:00,29.7,29.75,29.23,29.34,88871
2016-01-20 09:30:00,28.78,28.99,28.65,28.76,77494
2016-01-21 09:30:00,29.25,29.39,28.97,29.0,62341
2016-01-22 09:30:00,29.98,30.25,29.95,30.23,108990
2016-01-25 09:30:00,30.09,30.16,29.91,30.04,47919
2016-01-26 09:30:00,30.16,30.31,29.98,30.23,182432
2016-01-27 09:30:00,30.64,30.78,30.56,30.67,108165
2016-01-28 09:30:00,31.26,31.37,31.05,31.24,131503
2016-01-29 09:30:00,31.18,31.49,31.1,31.39,157778
2016-02-01 09:30:00,31.54,31.88,31.31,31.35,140520
2016-02-02 09:30:00,31.12,31.18,30.85,30.97,65888
2016-02-03 09:30:00,30.86,31.32,30.86,31.21,120815
2016-02-04 09:30:00,32.31,33.1,31.47,33.07,424177
2016-02-05 09:30:00,32.88,33.22,32.53,33.02,310197
2016-02-08 09:30:00,32.14,32.18,31.91,32.12,147658
2016-02-09 09:30:00,31.91,32.53,31.75,32.53,168827
2016-02-10 09:30:00,32.69,32.79,32.53,32.67,80132
2016-02-11 09:30:00,31.85,32.36,31.44,32.26,81358
2016-02-12 09:30:00,32.53,32.65,32.36,32.53,91608
2016-02-16 09:30:00,33.3,33.4,32.81,32.86,160847
2016-02-17 09:30:00,33.26,33.48,33.02,33.41,219843
2016-02-18 09:30:00,33.62,33.76,33.49,33.63,104375
2016-02-19 09:30:00,33.22,33.22,32.48,32.48,253980
2016-02-22 09:30:00,33.37,33.74,33.36,33.44,99901
2016-02-23 09:30:00,33.38,33.62,33.37,33.48,139831
2016-02-24 09:30:00,32.96,33.07,32.81,32.97,119825
2016-02-25 09:30:00,33.47,33.53,33.24,33.37,151227
2016-02-26 09:30:00,33.62,33.72,33.45,33.55,178700
2016-02-29 09:30:00,33.65,33.68,33.53,33.59,92597
2016-03-01 09:30:00,33.6,33.6,33.37,33.43,61464
2016-03-02 09:30:00,33.67,33.85,33.49,33.77,83400
2016-03-03 09:30:00,33.89,33.98,33.86,33.89,145002
2016-03-04 09:30:00,33.92,34.06,33.85,33.92,59404
2016-03-07 09:30:00,33.94,34.1,33.94,34.02,55911
2016-03-08 09:30:00,34.16,34.33,33.87,33.9,51940
2016-03-09 09:30:00,33.93,34.02,33.79,34.0,83973
2016-03-10 09:30:00,33.86,34.07,33.74,33.93,281515
2016-03-11 09:30:00,34.03,34.22,33.91,34.19,123771
2016-03-14 09:30:00,34.04,34.22,34.04,34.16,47861
2016-03-15 09:30:00,33.6,33.83,33.48,33.78,45408
2016-03-16 09:30:00,33.82,34.14,33.58,34.11,91934
2016-03-17 09:30:00,34.52,34.74,34.44,34.74,81811
2016-03-18 09:30:00,34.74,34.91,34.72,34.88,373593
2016-03-21 09:30:00,34.8,35.16,34.7,34.95,122812
