open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,67.68,67.68,66.4643,66.84,57779
2016-01-05 09:30:00,66.54,66.65,66.05,66.27,30335
2016-01-06 09:30:00,63.57,64.32,63.07,63.61,32388
2016-01-07 09:30:00,60.67,61.5456,60.145,60.3,45954
2016-01-08 09:30:00,59.8,59.9799,59.02,59.34,36628
2016-01-11 09:30:00,59.5,60.32,59.43,59.87,79359
2016-01-12 09:30:00,59.57,60.28,58.46,59.94,28164
2016-01-13 09:30:00,59.97,60.76,59.53,59.75,27297
2016-01-14 09:30:00,56.81,56.935,55.94,56.24,46080
2016-01-15 09:30:00,56.01,56.61,55.58,55.6,77609
2016-01-19 09:30:00,57.12,58.35,56.83,57.29,55200
2016-01-20 09:30:00,55.58,56.925,55.5001,56.1,179735
2016-01-21 09:30:00,57.25,57.25,55.58,56.13,73691
2016-01-22 09:30:00,56.61,57.64,55.65,57.37,36015
2016-01-25 09:30:00,55.89,56.9499,55.15,55.98,50458
2016-01-26 09:30:00,55.5,56.12,55.3,56.0,103360
2016-01-27 09:30:00,58.0,58.62,57.81,58.0,32858
2016-01-28 09:30:00,58.2,58.24,56.81,57.16,23959
2016-01-29 09:30:00,56.11,57.38,56.11,57.38,31152
2016-02-01 09:30:00,59.46,59.73,58.68,59.03,65487
2016-02-02 09:30:00,58.91,59.175,58.43,58.96,55944
2016-02-03 09:30:00,58.2,58.32,57.8,57.96,50250
2016-02-04 09:30:00,59.4,60.49,58.97,60.48,57705
2016-02-05 09:30:00,60.81,60.885,59.9,60.64,66125
2016-02-08 09:30:00,56.36,56.62,55.42,55.74,50603
2016-02-09 09:30:00,53.44,54.27,52.14,53.6796,40847
2016-02-10 09:30:00,55.25,56.595,54.83,56.585,68714
2016-02-11 09:30:00,56.35,57.885,56.03,57.18,39780
2016-02-12 09:30:00,58.88,58.99,57.81,57.91,57284
2016-02-16 09:30:00,60.15,61.27,59.59,61.035,59328
2016-02-17 09:30:00,65.28,66.28,64.14,66.28,80933
2016-02-18 09:30:00,67.12,67.76,66.52,66.99,34827
2016-02-19 09:30:00,66.27,67.38,65.18,65.43,27974
2016-02-22 09:30:00,68.1,69.32,67.1,69.32,60808
2016-02-23 09:30:00,68.07,69.21,67.42,68.27,74419
